Company Name,Description,Hot Lead / warm lead / cool lead,Last Contact Date,Sales Rep,Name,Phone,fax / second number / extension,email,Second email,Type
22 Glenbrook Road Condo Assn,,,,, ,(203) 327-4028,,,,Condo list
500 Prospect Condominium,,,,, ,(203) 865-6431,,,,Condo list
900 Hope St Condos,,,,, ,(203) 316-8345,,,,Condo list
Adams Mill River House Condo,,,,, ,(203) 316-0364,,,,Condo list
Alden Estates Condominium,,,,, ,(860) 547-1692,,,,Condo list
American Dream Realty,theyt are realtors ,,,,Alberico Betty,(203) 248-5550,,,,Condo list
Atrium Condominium Assn Inc,,,,, ,(203) 238-9198,,,,Condo list
Balbrae Condo Assoc,,,,, ,(860) 726-9940,,,,Condo list
Barclay Court Condominium Assn,1/3/13,,,,Frost Donald,860-232-2294,,,,Condo list
Beacon Hill Condo Assoc,,,,, ,(860) 291-0567,,,,Condo list
Beacon Mill Village Condo,,,,, ,(203) 720-2498,,,,Condo list
Bedford Towers Condominium,lft msg 1/3/13,,,,Hubert Mike,203-653-6545,(203) 325-0010,,,Condo list
Belcourt Condo Assn,1/3/13/ rude hung up,,,,Robinson Randy,(860) 243-2928,,,,Condo list
Bell Court Condominiums,,,,, ,(860) 528-0008,,,,Condo list
Birchwood Office Condos,,,,, ,(203) 237-1757,,,,Condo list
Bishops Cove Condominium Clbhs,,,,, ,(860) 572-9254,,,,Condo list
Blue Back Condominiums LLC,,,,, ,(860) 233-8900,,,,Condo list
Boardman Street Condominium,,,,, ,(860) 585-5439,,,,Condo list
Broadview Condominium,,,,, ,(203) 634-8773,,,,Condo list
Brook Haven Condo Assn,,,,, ,(860) 649-1800,,,,Condo list
Brookside Condos,,,,, ,(203) 797-1854,,,,Condo list
Brookwood Village,1/3/13,,,,Beger Bill,(860) 529-1415,,,,Condo list
Buckingham Condominiums Inc,,,,, ,(203) 359-2393,,,,Condo list
Bushnell On The Park Condo,,,,, ,(860) 278-4720,,,,Condo list
Bushnell Tower Condominium,currently under contract with supplier ,,,,dubore mike,(860) 527-9681,860-278-2040,,,Condo list
Candlelight Terrace Condo Inc,,,,, ,(203) 374-9333,,,,Condo list
Carriage Crossing Condominium,,,,, ,(860) 632-0137,,,,Condo list
Cartright Condominium Assn Inc,203-653-6545 --keefan,call 1/4/ 13,,,Daniels Russ,(203) 367-0011,,,,Condo list
Chesterfield II Condominium,,,,, ,(203) 324-9986,,,,Condo list
Cinnamon Springs Condo Inc,,,,, ,(860) 648-9884,,,,Condo list
Coachlight Village Condo Assn,ask for boss. She does not handle energy needs.,,,,Cousinau Linda,(860) 289-3730,,,,Condo list
Coldwell Banker,,,,,Calabro Michael,(860) 529-7007,,,,Condo list
Colonial Manor Condominium,,,,, ,(203) 878-3026,,,,Condo list
Common Condominium Assn,,,,, ,(203) 637-5826,,,,Condo list
Condos USA,1/3/13,,,,Meyer Robert,(860) 526-8652,,,,Condo list
Countryside Condominium,,,,, ,(860) 667-2025,,,,Condo list
Cove Harbor Condominium Assoc,wrong number,,,, ,(203) 969-7348,,,,Condo list
Cromwell Gardens Assn,,,,,Dunham Walter,(860) 635-4438,,,,Condo list
Cromwell Hills Condo Assn,beginning of march 2013,,,,william durr,(860) 635-7070,,,,Condo list
Cromwell Hills Phase III Condo,,,,,Kilner Sherry,(860) 635-4111,,,,Condo list
Currier Woods Assn Inc,1/3/2013,,,, ,(203) 272-7072,,,,Condo list
Deerfield Woods Condominium,,,,, ,(203) 380-2173,,,,Condo list
Derbyshire Condo Clubhouse,,,,, ,(203) 732-7736,,,,Condo list
Doral Farm Home Owners Assoc,,,,,Saciuk Mike,(203) 968-2578,,,,Condo list
East Gate Condominium Assn,,,,, ,(203) 281-9993,,,,Condo list
Eastgate Commons Condo Assn,with direct energy,,,,Judenis Kim,(203) 634-1485,,,,Condo list
Eastwood Condominium Assn Inc,,,,, ,(203) 334-8631,,,,Condo list
Edgewater Condominium Inc,,,,, ,(203) 323-8767,,,,Condo list
Embassy Towers Assn,1/3/ 2013 in tomorrow,,,,Valez Honorio,(203) 576-8585,,,,Condo list
F Schachter Lansdowne Cndmnms,,,,, ,(203) 259-4807,,,,Condo list
Fairfield House Condo,,,,, ,(203) 869-8334,,,,Condo list
Fairlawn Third Condominium,,,,, ,(203) 348-0633,,,,Condo list
Fairview Condominiums,,,,, ,(203) 743-7198,,,,Condo list
Far Mill River Condo Unit,,,,, ,(203) 377-7138,,,,Condo list
Far Mill River Condos Inc,,,,, ,(203) 375-4500,,,,Condo list
Farview Terrace Assoc Inc,,,,, ,(203) 797-9493,,,,Condo list
Fayerweather Towers,,,,,Liberman Mark,(203) 333-3304,,,,Condo list
Fifty North St Condominium,,,,, ,(203) 324-4368,,,,Condo list
Flagg Associates,,,,,Flagg Bill,(860) 763-2570,,,,Condo list
Forest In Farmington,,,,, ,(860) 677-6303,,,,Condo list
Forest In Farmington,,,,, ,(860) 677-6303,,,,Condo list
Four Beaches Condo Assn,fax #,,,, ,(203) 468-1185,,,,Condo list
Fox Hill Phase III Assn,no answer,,,, ,(203) 894-8287,,,,Condo list
Foxboro Condominium Clubhouse,wrong #,,,, ,(860) 666-9180,,,,Condo list
Foxledge Condominium Assn,1/3/2013,,,,tom superintendent ,(203) 371-4908,,,,Condo list
Foxwood Master Condominium,1/3,,,,Shek Ed,(203) 878-9973,,,,Condo list
Franklin Gardens,,,,, ,(860) 296-2777,,,,Condo list
Glen Royal Condominiums Inc,,,,, ,(203) 323-7853,,,,Condo list
Greenfield Village,equity residential -- is the corporate office in chicago ,,,,Martin Alex,(860) 721-7030,,,,Condo list
Greens The Condominiums Assn,,,,, ,(203) 481-3828,,,,Condo list
Greenview Condominiums,,,,, ,(203) 468-2506,,,,Condo list
Greenwich Chateau Condominium,,,,, ,(203) 869-1890,,,,Condo list
Halmar Inc,,,,,Pierce Sr Hal,(860) 653-7283,,,,Condo list
Hamlet Of Enfield,,,,, ,(860) 745-8748,,,,Condo list
Hampshire House Condominiums,,,,, ,(203) 336-0052,,,,Condo list
Harbor Club,,,,, ,(860) 444-8884,,,,Condo list
Harbor House Pequot Ave Condo,,,,, ,(860) 442-1995,,,,Condo list
Harbor Landing Condominium,,,,, ,(203) 498-7554,,,,Condo list
Harbor View Condominiums,glenn saben is property manager with castle management 203-921-1681 tried on 1/4 no msg,,,,Dasilva Sergio,(203) 661-2760,,,,Condo list
Harbour Village Condominium,,,,,Cari Tony,(203) 488-9611,,,,Condo list
Heatherwood Condo Assoc,1/3 no answer,,,, ,(203) 329-4051,,,,Condo list
Heritage,no answer,,,, ,(860) 233-9205,,,,Condo list
Heritage Cove,no answer,,,, ,(860) 767-8469,,,,Condo list
Highgrove Condominium,no answer,,,, ,(203) 363-7994,,,,Condo list
Hills Of Monroe,,,,, ,(203) 445-0105,,,,Condo list
Hunter Moore & Sterns,,,,, ,(860) 535-8300,,,,Condo list
Huntington Condos,,,,, ,(203) 366-1072,,,,Condo list
Indian Harbor House,not the person westford property management in white plains can't find number to company,,,,Kilkenney Luke,(203) 869-4270,,,,Condo list
